route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
B82+,EN_P6-Weekday,EN_P6-Weekday-028500_SBS82_901,SELECT BUS BENSNHRST BAY 38 via FLATLNDS,1,38429657,SBS821519
B82+,EN_P6-Weekday,EN_P6-Weekday-034800_SBS82_901,SELECT BUS SPRING CRK SEAVIEW via KINGS,0,38429657,SBS821510
B82+,EN_P6-Weekday,EN_P6-Weekday-039900_SBS82_911,SELECT BUS BENSNHRST BAY 38 via FLATLNDS,1,38429667,SBS821519
B82+,EN_P6-Weekday,EN_P6-Weekday-047100_SBS82_911,SELECT BUS SPRING CRK SEAVIEW via KINGS,0,38429667,SBS821510
B82+,EN_P6-Weekday,EN_P6-Weekday-030500_SBS82_902,SELECT BUS BENSNHRST BAY 38 via FLATLNDS,1,38429658,SBS821519
B82+,EN_P6-Weekday,EN_P6-Weekday-036600_SBS82_902,SELECT BUS SPRING CRK SEAVIEW via KINGS,0,38429658,SBS821510
B82+,EN_P6-Weekday,EN_P6-Weekday-057800_SBS82_913,SELECT BUS BENSNHRST BAY 38 via FLATLNDS,1,38429669,SBS821519
B82+,EN_P6-Weekday,EN_P6-Weekday-061500_SBS82_906,SELECT BUS SPRING CRK SEAVIEW via KINGS,0,38429667,SBS821510
B82+,EN_P6-Weekday,EN_P6-Weekday-077500_SBS82_908,SELECT BUS SPRING CRK SEAVIEW via KINGS,0,38429684,SBS821510
B82+,EN_P6-Weekday,EN_P6-Weekday-095000_SBS82_923,SELECT BUS SPRING CRK SEAVIEW via KINGS,0,38429668,SBS821510
B82+,EN_P6-Weekday,EN_P6-Weekday-032000_SBS82_903,SELECT BUS BENSNHRST BAY 38 via FLATLNDS,1,38429659,SBS821519
B82+,EN_P6-Weekday,EN_P6-Weekday-049100_SBS82_912,SELECT BUS SPRING CRK SEAVIEW via KINGS,0,38429668,SBS821510
B82+,EN_P6-Weekday,EN_P6-Weekday-033400_SBS82_904,SELECT BUS BENSNHRST BAY 38 via FLATLNDS,1,38429660,SBS821519
B82+,EN_P6-Weekday,EN_P6-Weekday-038400_SBS82_903,SELECT BUS SPRING CRK SEAVIEW via KINGS,0,38429659,SBS821510
B82+,EN_P6-Weekday,EN_P6-Weekday-059800_SBS82_914,SELECT BUS BENSNHRST BAY 38 via FLATLNDS,1,38429670,SBS821519
B82+,EN_P6-Weekday,EN_P6-Weekday-079500_SBS82_911,SELECT BUS SPRING CRK SEAVIEW via KINGS,0,38429668,SBS821510
B82+,EN_P6-Weekday,EN_P6-Weekday-097600_SBS82_924,SELECT BUS SPRING CRK SEAVIEW via KINGS,0,38429685,SBS821510
B82+,EN_P6-Weekday,EN_P6-Weekday-111000_SBS82_917,SELECT BUS BENSNHRST BAY 38 via FLATLNDS,1,38429682,SBS821519
B82+,EN_P6-Weekday,EN_P6-Weekday-114800_SBS82_924,SELECT BUS SPRING CRK SEAVIEW via KINGS,0,38429685,SBS821510
B82+,EN_P6-Weekday,EN_P6-Weekday-123000_SBS82_923,SELECT BUS BENSNHRST BAY 38 via FLATLNDS,1,38429675,SBS821519
B82+,EN_P6-Weekday,EN_P6-Weekday-128500_SBS82_921,SELECT BUS SPRING CRK SEAVIEW via KINGS,0,38429674,SBS821510
B82+,EN_P6-Weekday,EN_P6-Weekday-044300_SBS82_903,SELECT BUS BENSNHRST BAY 38 via FLATLNDS,1,38429659,SBS821519
